Date,Max_Price,Min_Price,Model_Price
2022-06-08,10000,8500,9000
2022-05-09,10500,8500,9000
2022-04-18,10500,8500,9000
2022-03-31,10500,8500,9500
2022-03-30,10500,8500,9500
2022-03-28,10500,8500,9500
2022-03-25,10500,8500,9500
2022-03-24,10500,8500,9500
2022-03-22,10500,8500,9500
2022-03-21,10500,8500,9500
2022-03-02,10500,8000,9000
2022-03-01,9500,7500,8500
2021-10-12,10000,8000,9000
2021-10-11,10000,8000,9000
2021-09-11,10000,8000,9000
2021-09-09,10000,8000,9000
2021-08-12,10000,8000,9000
2021-08-11,10000,8000,9000
2021-08-10,10000,8000,9000
2021-08-09,10000,8000,9000
2021-07-30,9500,8000,9000
2021-07-27,10000,8500,9500
2021-07-26,10000,8500,9500
2021-07-23,10000,8500,9500
2021-07-19,10000,8500,9500
2021-07-15,10500,8500,9600
2021-07-14,10500,8500,9600
2021-07-13,10500,8500,9600
2021-07-12,10500,8500,9600
2021-07-10,10000,8000,9000
2021-07-09,10500,8500,9600
2021-07-09,10000,8000,9000
2021-07-08,10500,8500,9600
2021-07-07,10500,8500,9600
2021-07-06,10500,8500,9600
2021-07-05,10500,8500,9600
2021-07-02,10500,8500,9600
2021-06-30,10500,8500,9600
2021-06-28,10500,8500,9600
2021-06-25,10500,8500,9600
2021-06-24,10500,8500,9600
2021-06-22,10500,8500,9600
2021-06-21,10500,8500,9600
2021-06-18,10500,8500,9600
2021-06-17,10500,8500,9600
2021-06-17,10500,8500,9600
2021-06-15,10500,8500,9600
2021-06-14,10500,8500,9600
2021-06-12,10000,8000,9000
2021-06-10,10000,8000,9000
2021-06-04,11000,8500,9800
2021-06-03,11000,8500,9800
2021-06-01,11000,8500,9800
2021-05-31,11000,8500,9800
2021-05-25,11000,8500,9700
2021-05-20,11000,8500,9700
2021-05-19,11000,8500,9700
2021-05-18,11000,8500,9700
2021-05-17,11000,8500,9700
2021-05-14,11000,8500,9700
2021-05-14,11000,8500,9700
2021-05-12,11000,8500,9700
2021-05-11,11000,8500,9700
2021-05-10,11000,8500,9700
2021-05-10,10000,8000,9000
2021-05-07,11000,8500,9700
2021-05-06,11000,8500,9700
2021-05-06,11000,8500,9700
2021-05-05,11000,8500,9700
2021-05-05,11000,8500,9700
2021-05-04,11000,8500,9700
2021-05-03,11000,8500,9700
2021-05-03,11000,8500,9700
2021-04-30,11000,8500,9700
2021-04-29,11000,8500,9700
2021-04-28,11000,8500,9700
2021-04-23,11000,8500,9700
2021-04-22,11000,8500,9700
2021-04-20,11000,8500,9700
2021-04-20,11000,8500,9700
2021-04-19,10500,8500,9500
2021-04-16,10500,8500,9500
2021-04-12,10500,8500,9500
2021-04-10,10000,8000,9000
2021-04-09,10500,8500,9500
2021-04-08,10000,8500,9000
2021-04-08,10000,8500,9000
2021-04-07,10000,8500,9000
2021-04-06,10000,8500,9000
2021-04-01,10000,8500,9000
2021-03-31,10000,8500,9000
2021-03-30,10000,8500,9000
2021-03-26,10000,8500,9000
