Date,Max_Price,Min_Price,Model_Price_Price
2022-06-08,2700,2200,2500
2022-05-09,3200,2500,2800
2022-04-18,3200,2500,2800
2022-03-31,2600,2300,2500
2022-03-30,2600,2300,2500
2022-03-24,2600,2300,2500
2022-03-22,2600,2300,2500
2022-03-21,2600,2300,2500
2022-03-02,3000,2000,2500
2022-03-01,2800,2000,2400
2021-10-12,2800,2200,2500
2021-10-11,2500,1700,2200
2021-09-12,2800,2200,2500
2021-09-11,2500,1700,2200
2021-09-09,2400,1700,2300
2021-08-12,2800,2200,2500
2021-08-10,2500,1700,2200
2021-08-09,2400,1700,2300
2021-07-27,2500,1700,2200
2021-07-26,2500,1700,2200
2021-07-23,2500,1700,2200
2021-07-23,2500,1700,2200
2021-07-15,2500,1700,2200
2021-07-13,2500,1700,2200
2021-07-12,2500,1700,2200
2021-07-10,2500,1700,2200
2021-07-09,2500,1700,2200
2021-07-09,2500,1700,2200
2021-07-08,2500,1700,2200
2021-07-07,2500,1700,2200
2021-07-06,2500,1700,2200
2021-07-05,2600,1800,2400
2021-07-02,2600,1800,2400
2021-06-30,2600,1800,2400
2021-06-28,2600,1800,2400
2021-06-25,2600,1800,2400
2021-06-24,2600,1800,2400
2021-06-24,2600,1800,2400
2021-06-23,2600,1800,2400
2021-06-22,2600,1800,2200
2021-06-21,2600,1800,2400
2021-06-18,2600,1800,2400
2021-06-17,2600,1800,2400
2021-06-17,2600,1800,2400
2021-06-15,2600,1800,2400
2021-06-14,2600,1800,2400
2021-06-14,2600,1800,2400
2021-06-12,2800,2200,2500
2021-06-10,2500,1700,2200
2021-06-04,2500,1700,2300
2021-06-03,2500,1700,2300
2021-06-02,2500,1700,2300
2021-06-01,2500,1700,2300
2021-05-31,2500,1700,2300
2021-05-25,2700,1800,2400
2021-05-20,2700,1800,2400
2021-05-19,2700,1800,2400
2021-05-18,2700,1800,2400
2021-05-17,2700,1800,2400
2021-05-14,2700,1800,2400
2021-05-14,2700,1800,2400
2021-05-11,2700,1800,2400
2021-05-10,2700,1800,2400
2021-05-10,2500,1700,2200
2021-05-06,2500,1800,2200
2021-05-06,2500,1800,2200
2021-05-05,2500,1800,2200
2021-05-05,2500,1800,2200
2021-05-04,2500,1800,2200
2021-05-03,2500,1800,2200
2021-05-03,2500,1800,2200
2021-04-30,2500,1800,2200
2021-04-30,2500,1800,2200
2021-04-29,2500,1800,2200
2021-04-28,2500,1800,2200
2021-04-23,2500,1800,2200
2021-04-20,2500,1800,2200
2021-04-20,2500,1800,2200
2021-04-19,2500,1700,2100
2021-04-16,2500,1700,2100
2021-04-12,2500,1700,2100
2021-04-08,2800,2000,2400
2021-04-08,2800,2000,2400
2021-04-07,2800,2000,2400
2021-04-06,2800,2000,2400
2021-04-01,2800,2000,2400
2021-03-31,2800,2000,2400
2021-03-26,2800,2000,2400
2021-03-25,2800,2000,2400
2021-03-24,2800,2000,2400
2021-03-22,2800,2000,2400
2021-03-16,2800,2000,2400
2021-03-16,2800,2000,2400
2021-03-15,2500,1800,2300
2021-03-12,2500,1800,2300
2021-03-12,2500,1800,2300
2021-03-12,2800,2200,2500
2021-03-10,2500,1800,2300
2021-03-05,2500,1800,2300
2021-03-04,2500,1800,2300
2021-03-02,2500,1800,2300
2021-03-01,2500,1800,2300
2021-02-22,2500,1800,2300
2021-02-18,2500,1800,2300
2021-02-17,2500,1800,2300
2021-02-16,2500,1800,2300
2021-02-16,2500,1800,2300
2021-02-12,2500,1800,2300
2021-02-12,2800,2200,2500
2021-02-11,2500,1800,2300
2021-02-11,2500,1700,2200
2021-02-10,2800,2000,2500
2021-02-09,2800,2000,2500
2021-02-05,2800,2000,2500
2021-02-04,2800,2000,2500
2021-02-03,2800,2000,2500
2021-02-02,2800,2000,2500
2021-02-01,2800,2000,2500
2021-01-29,2800,2000,2500
2021-01-28,2800,2000,2500
2021-01-27,2800,2000,2500
2021-01-25,2800,2000,2500
2021-01-22,2800,2000,2500
2021-01-21,2800,2000,2500
2021-01-20,2800,2000,2500
2021-01-19,2800,2000,2500
2021-01-18,2800,2000,2500
2021-01-15,3000,2200,2700
2021-01-15,3000,2200,2700
2021-01-12,2800,2200,2500
2021-01-11,3000,2200,2700
2021-01-11,3000,2200,2700
2021-01-11,2500,1700,2200
2021-01-10,2500,1700,2200
2021-01-06,3000,2200,2700
2021-01-05,3000,2200,2700
2021-01-04,3000,2200,2700
2021-01-01,3000,2200,2600
2020-12-30,3000,2200,2700
2020-12-29,3000,2200,2700
