Date,Max_Price,Min_Price,Model_Price
2022-06-08,2800,2000,2400
2022-05-09,2000,1600,1800
2022-03-31,3500,2500,3000
2022-03-30,3500,2500,3000
2022-03-29,3000,2500,2800
2022-03-28,3000,2500,2800
2022-03-25,3500,2500,3000
2022-03-24,3500,2500,2800
2022-03-23,3500,2500,3000
2022-03-22,4000,3000,3500
2022-03-21,4000,3000,3500
2022-03-02,3500,2000,2800
2022-03-01,3500,2000,2800
2021-10-12,3200,2800,3000
2021-09-09,2800,2000,2400
2021-08-10,3000,2000,2500
2021-08-09,2800,2000,2400
2021-07-30,3000,2400,2700
2021-07-30,3000,2400,2700
2021-07-29,3000,2400,2700
2021-07-27,3000,2400,2700
2021-07-27,3000,2400,2700
2021-07-26,3000,2400,2700
2021-07-26,3000,2400,2700
2021-07-23,2800,2400,2600
2021-07-22,2800,2400,2600
2021-07-19,3400,3000,3200
2021-07-15,3400,3000,3200
2021-07-14,3000,2600,2800
2021-07-14,3000,2600,2800
2021-07-13,3000,2600,2800
2021-07-13,3000,2600,2800
2021-07-12,3000,2600,2800
2021-07-12,3000,2600,2800
2021-07-12,2800,2200,2500
2021-07-10,4000,3000,3500
2021-07-09,3200,2600,2900
2021-07-08,3200,2600,2900
2021-07-07,3200,2600,2900
2021-07-06,3000,2600,2800
2021-07-05,3000,2600,2800
2021-07-05,3000,2600,2800
2021-07-01,3000,2600,2800
2021-06-30,3000,2600,2800
2021-06-29,3000,2600,2800
2021-06-25,2600,2000,2300
2021-06-24,2600,1800,2200
2021-06-23,2600,1400,2100
2021-06-21,2600,1400,2000
2021-06-18,2600,1800,2200
2021-06-17,2600,1800,2200
2021-06-15,2400,1600,2000
2021-06-14,2400,1600,2000
2021-06-12,3000,2500,2800
2021-06-11,2200,1600,1900
2021-06-08,3400,2200,2800
2021-06-07,3400,2200,2800
2021-06-04,3000,2000,2500
2021-06-03,3000,2000,2500
2021-06-02,3000,2000,2500
2021-06-01,3000,2000,2500
2021-05-31,2500,2000,2300
2021-05-31,2500,2000,2300
2021-05-27,2600,1600,2100
2021-05-25,2500,1500,2000
2021-05-24,2600,1600,2100
