Date,Max_Price,Min_Price,Model_Price
2022-06-08,4000,3000,3500
2022-05-09,3200,2600,2900
2022-03-31,3600,3200,3400
2022-03-30,4000,3000,3500
2022-03-29,3000,2500,2800
2022-03-28,3000,2500,2800
2022-03-25,4000,3000,3500
2022-03-24,3600,3200,3400
2022-03-23,4000,3000,3500
2022-03-22,4000,3000,3500
2022-03-21,4000,3000,3500
2022-03-02,5000,4000,4600
2022-03-01,5550,4700,5000
2021-12-10,4600,3600,4100
2021-10-12,5500,4000,5000
2021-10-09,3000,2200,2500
2021-09-09,3000,2400,2700
2021-08-10,4000,3600,3800
2021-08-09,2800,2200,2500
2021-07-30,3800,3200,3500
2021-07-30,3800,3200,3500
2021-07-29,3800,3200,3500
2021-07-28,4200,3600,3900
2021-07-28,4200,3600,3900
2021-07-27,4000,3600,3800
2021-07-27,4000,3600,3800
2021-07-26,3800,2400,3100
2021-07-26,3800,2400,3100
2021-07-23,4000,3000,3500
2021-07-22,4000,2000,3000
2021-07-15,3000,2600,2800
2021-07-14,3600,3000,3300
2021-07-14,3600,3000,3300
2021-07-13,3000,2500,2800
2021-07-13,3000,2500,2800
2021-07-12,2600,1600,2100
2021-07-12,2600,1600,2100
2021-07-12,7000,4000,5500
2021-07-10,4000,3000,3500
2021-07-09,4000,3400,3700
2021-07-09,4000,3400,3700
2021-07-08,3200,3000,3100
2021-07-07,4000,3600,3800
2021-07-07,4000,3600,3800
2021-07-06,4000,3600,3800
2021-07-05,4000,3600,3800
2021-07-05,4000,3600,3800
2021-07-02,3800,3400,3600
2021-07-01,3400,3200,3300
2021-06-30,4000,3600,3800
2021-06-29,5000,4000,4500
2021-06-25,4200,3800,4000
2021-06-25,4200,3800,4000
2021-06-24,4400,4000,4200
2021-06-23,4400,4000,4200
2021-06-22,4000,3600,3800
2021-06-21,4000,3600,3800
2021-06-18,5000,4000,4500
2021-06-17,5000,4000,4500
2021-06-16,4400,3800,4100
2021-06-15,4400,3800,4100
2021-06-14,4000,3600,3800
2021-06-12,6000,4000,5000
2021-06-11,3800,3600,3700
2021-06-10,4000,3000,3500
2021-06-10,3800,3000,3400
2021-06-08,3600,3000,3300
2021-06-07,4400,4000,4200
2021-06-04,4000,3600,3800
2021-06-03,4000,3600,3800
2021-06-03,4000,3600,3800
2021-06-02,4000,3600,3800
2021-06-01,4000,3000,3500
2021-05-31,3600,2600,3100
2021-05-31,3600,2600,3100
2021-05-27,4600,4000,4300
2021-05-25,4400,4000,4200
2021-05-24,4000,3500,3800
2021-05-24,4000,3500,3800
2021-05-20,4000,3000,3500
2021-05-20,4000,3000,3500
2021-05-19,4000,3000,3500
2021-05-18,4000,3000,3500
2021-05-17,4000,3500,3800
2021-05-14,3600,3200,3400
2021-05-12,4000,3000,3500
2021-05-12,4000,3000,3500
2021-05-11,4000,3000,3500
2021-05-10,4000,3000,3500
2021-05-10,4400,3400,3900
2021-05-07,3500,2500,3000
2021-05-06,3500,2500,3000
2021-05-05,3200,2200,2700
2021-05-04,3000,2200,2600
2021-04-30,3400,2800,3100
2021-04-30,3400,2800,3100
2021-04-29,3600,3000,3300
2021-04-28,4000,3600,3800
2021-04-28,4000,3600,3800
2021-04-27,3200,2800,3000
2021-04-23,3000,2600,2800
2021-04-22,2800,2400,2600
2021-04-22,2800,2400,2600
2021-04-20,4000,3800,3900
2021-04-19,4000,3600,3800
2021-04-16,4400,4000,4200
2021-04-12,4400,3800,4100
2021-04-10,3800,3200,3500
2021-04-09,4400,4000,4200
2021-04-08,4400,4000,4200
2021-04-07,3600,3200,3400
2021-04-06,4000,3600,3800
2021-04-05,4000,3600,3800
2021-04-01,4400,4000,4200
2021-03-31,4400,4000,4200
2021-03-30,4400,4000,4200
2021-03-26,4000,3600,3800
2021-03-25,4000,3600,3800
2021-03-24,4000,3600,3800
2021-03-23,3600,3000,3300
2021-03-22,4000,3600,3800
2021-03-16,4000,3600,3800
2021-03-15,4000,3600,3800
2021-03-12,4400,4000,4200
2021-03-12,7000,3500,5300
2021-03-10,4200,3600,3900
2021-03-09,3800,2800,3300
2021-03-08,3800,2800,3300
2021-03-05,3600,3200,3400
2021-03-04,4400,3600,4000
2021-03-04,4400,3600,4000
2021-03-03,4400,3600,4000
2021-03-02,5000,3600,4300
2021-03-01,4400,3600,4000
2021-02-26,4000,3600,3800
2021-02-26,4000,3600,3800
2021-02-25,4400,4000,4200
2021-02-24,4400,4000,4200
2021-02-23,4200,3800,4000
2021-02-22,4000,3600,3800
2021-02-18,4400,3400,3900
2021-02-17,4000,3000,3500
2021-02-15,4000,3600,3800
2021-02-12,5000,3600,4300
2021-02-12,5000,3600,4300
2021-02-12,5000,4000,4500
2021-02-11,5000,3600,4300
2021-02-11,5000,3600,4300
2021-02-11,5000,3000,4000
2021-02-10,4400,4000,4200
2021-02-09,4400,4000,4200
2021-02-09,4400,4000,4200
2021-02-08,4000,3000,3500
2021-02-08,4000,3000,3500
2021-02-05,3600,3000,3300
2021-02-05,3600,3000,3300
2021-02-04,3600,3200,3400
2021-02-03,4000,3600,3800
2021-02-03,4000,3600,3800
2021-02-02,4200,3800,4000
2021-02-01,4000,3600,3800
2021-01-29,3800,2800,3300
2021-01-28,4000,3000,3500
2021-01-27,4000,3000,3500
2021-01-25,3600,3400,3500
2021-01-22,4000,3000,3500
2021-01-22,4000,3000,3500
2021-01-21,4000,3000,3500
2021-01-20,4000,3000,3500
2021-01-19,3200,3000,3100
2021-01-19,3200,3000,3100
2021-01-18,4000,3600,3800
2021-01-15,4000,3600,3800
2021-01-15,4000,3600,3800
2021-01-14,3000,2400,2700
2021-01-12,7000,3500,5300
2021-01-11,5000,4000,4500
2021-01-10,4000,3200,3600
2021-01-06,4400,4000,4200
2021-01-06,4400,4000,4200
2021-01-05,3400,3000,3200
2021-01-04,3500,3000,3300
2021-01-04,3500,3000,3300
2021-01-01,4000,3000,3500
2020-12-31,4000,3600,3800
2020-12-30,3600,3000,3400
2020-12-29,3600,3000,3400
2020-12-24,4000,3000,3500
2020-12-23,3600,3000,3400
2020-12-22,3600,3000,3300
2020-12-21,3600,3000,3400
2020-12-18,2800,2200,2500
2020-12-17,3000,2400,2700
2020-12-16,2400,2000,2200
2020-12-15,2600,2000,2300
