Date,Max_Price,Min_Price,Model_Price
2022-06-08,2000,1400,1700
2022-05-09,2400,1400,1900
2022-03-31,2800,1600,2200
2022-03-30,3000,1500,2250
2022-03-29,2800,1600,2200
2022-03-28,2800,1500,2150
2022-03-25,2400,1400,1900
2022-03-24,2800,1600,2200
2022-03-23,3000,1600,2300
2022-03-22,3000,2000,2500
2022-03-21,2800,2000,2400
2022-03-02,4000,2500,3250
2022-03-01,6000,4000,5000
2021-10-12,7000,4000,5500
2021-10-09,2200,1400,1800
2021-09-09,2400,1400,1900
2021-08-10,4600,3000,3800
2021-08-09,1500,1200,1300
2021-07-30,2000,1500,1800
2021-07-30,2000,1500,1800
2021-07-29,1800,1500,1700
2021-07-28,3500,1500,2500
2021-07-27,2000,1500,1800
2021-07-26,3500,1500,2500
2021-07-26,3500,1500,2500
2021-07-23,3400,1000,2200
2021-07-22,3000,1000,2000
2021-07-19,2800,1200,2000
2021-07-15,3200,1400,2400
2021-07-14,2400,2000,2200
2021-07-13,2200,2000,2100
2021-07-13,2200,2000,2100
2021-07-12,3000,1200,2100
2021-07-12,3000,1200,2100
2021-07-12,4000,1600,2800
2021-07-10,4000,2500,3300
2021-07-09,2800,2200,2500
2021-07-08,2800,2200,2500
2021-07-07,4500,2000,3250
2021-07-06,2400,2000,2200
2021-07-05,2400,2200,2300
2021-07-05,2400,2200,2300
2021-07-02,3500,2500,3000
2021-07-01,3500,2500,3000
2021-06-30,3500,2500,3000
2021-06-29,4000,2500,3300
2021-06-25,4500,3000,3800
2021-06-24,5000,2500,3750
2021-06-23,5000,4000,4500
2021-06-22,4000,3000,3500
2021-06-21,5000,3000,4000
2021-06-18,4500,3000,3800
2021-06-17,5000,3000,4000
2021-06-16,3200,2400,2800
2021-06-15,3200,1500,2350
2021-06-14,3200,1500,2350
2021-06-12,3600,1800,2700
2021-06-08,3200,1500,2350
2021-06-04,2600,1600,2100
2021-06-03,3600,1800,2200
2021-06-02,3000,1500,2250
2021-06-01,3000,1400,2200
2021-05-31,3000,2000,2500
2021-05-31,3000,2000,2500
2021-05-27,3000,2500,2800
2021-05-25,2500,1500,2000
2021-05-24,2400,1200,1800
2021-05-20,1600,1000,1300
2021-05-19,1600,1000,1300
2021-05-18,1400,1000,1200
2021-05-17,1400,1000,1200
2021-05-14,1200,1000,1100
2021-05-12,1400,1200,1300
2021-05-12,1400,1200,1300
2021-05-11,1600,1200,1400
2021-05-10,1600,1200,1400
2021-05-10,3000,2000,2500
2021-05-07,1800,1200,1600
2021-05-06,2000,1200,1600
2021-05-05,2000,1200,1600
2021-05-04,2000,1200,1600
2021-04-30,1600,1200,1400
2021-04-29,1600,1200,1400
2021-04-28,1600,1200,1400
2021-04-28,1600,1200,1400
2021-04-27,2000,1200,1600
2021-04-23,1600,1000,1300
2021-04-22,1600,1000,1300
2021-04-22,1600,1000,1300
2021-04-20,1400,1000,1200
2021-04-19,1200,1000,1100
2021-04-16,1600,1200,1400
2021-04-12,1600,1200,1400
2021-04-10,3000,1600,2300
2021-04-09,1800,1200,1600
2021-04-08,1800,1200,1500
2021-04-07,1800,1200,1500
2021-04-06,1800,1200,1500
2021-04-05,1600,1200,1400
2021-04-01,1800,1000,1400
2021-03-31,1800,1000,1400
2021-03-30,1200,1000,1100
2021-03-24,1200,1000,1100
2021-03-23,1200,1000,1100
2021-03-22,1400,1000,1200
2021-03-16,1200,1000,1100
2021-03-15,1200,1000,1100
2021-03-12,1200,1000,1100
2021-03-12,4000,1500,2750
2021-03-10,1200,800,1000
2021-03-09,1200,800,1000
2021-03-08,1200,600,900
2021-03-05,1000,600,800
2021-03-04,1200,1000,1100
2021-03-03,1000,800,900
2021-03-02,1200,800,1000
2021-03-01,1000,600,800
2021-02-26,1400,1000,1200
2021-02-26,1400,1000,1200
2021-02-25,1800,1000,1400
2021-02-24,1500,1000,1250
2021-02-22,1500,1000,1250
2021-02-18,2400,1400,1900
2021-02-17,1600,1200,1400
2021-02-15,2500,1000,1750
2021-02-12,2000,1200,1600
2021-02-12,3000,1500,2250
2021-02-11,1800,1200,1500
2021-02-11,1800,1200,1500
2021-02-11,4800,3000,3900
2021-02-10,1600,1000,1300
2021-02-09,1800,1200,1500
2021-02-09,1800,1200,1500
2021-02-05,2200,1600,1900
2021-02-05,2200,1600,1900
2021-02-04,1800,1000,1400
2021-02-03,2400,1600,2000
2021-02-02,2200,1500,1850
2021-02-01,2200,1000,1600
2021-01-29,2000,1500,1750
2021-01-28,2400,1600,2000
2021-01-27,2000,1400,1700
2021-01-25,2500,1500,2000
2021-01-22,2200,1200,1700
2021-01-22,2200,1200,1700
2021-01-21,3200,1500,2350
2021-01-20,2400,1400,1900
2021-01-19,2000,800,1400
2021-01-19,2000,800,1400
2021-01-18,3200,1500,2350
2021-01-15,3000,2000,2500
2021-01-14,2200,1500,1850
2021-01-12,4000,1500,2750
2021-01-11,4000,2500,3250
2021-01-10,3000,1800,2400
2021-01-06,3000,1500,2250
2021-01-05,2200,1600,1900
2021-01-04,2000,1600,1800
2021-01-01,3200,2600,2900
2020-12-31,3200,2800,3000
2020-12-30,1800,1400,1600
2020-12-29,1600,1200,1500
2020-12-24,1400,1000,1200
2020-12-23,1400,1000,1200
2020-12-22,1400,1000,1200
2020-12-18,1600,1000,1300
2020-12-17,1200,1000,1100
2020-12-16,1000,800,900
2020-12-15,1600,1200,1400
2020-12-15,1600,1200,1400
2020-12-11,1200,1000,1100
2020-12-10,2000,1600,1800
2020-12-09,1800,1500,1600
2020-12-07,2000,1400,1700
2020-12-04,2000,1600,1800
2020-12-03,2200,1800,2000
2020-12-02,2400,2000,2200
2020-12-01,1800,1500,1650
2020-11-27,2000,1500,1800
2020-11-26,2000,1000,1500
2020-11-25,2000,1500,1800
2020-11-24,2800,2000,2400
2020-11-23,2600,2000,2300
2020-11-19,3000,2500,2800
2020-11-12,5000,3500,4250
2020-11-11,6000,5000,5500
2020-11-10,6000,4000,5000
2020-11-09,5000,3500,4250
2020-11-06,4500,3500,4000
2020-11-05,5000,4000,4500
2020-11-04,4400,4000,4200
2020-11-03,4000,3500,3800
2020-11-02,4400,2500,3450
2020-10-29,5000,2500,3750
2020-10-28,6000,2500,4250
2020-10-15,3500,2500,3000
2020-10-14,4000,3200,3600
2020-10-13,3000,2200,2600
2020-10-12,3000,2200,2600
2020-10-10,3200,2200,2700
2020-10-09,2800,2200,2600
