Date,Max_Price,Min_Price,Model_Price
2022-06-08,1600,1400,1500
2022-05-09,1000,600,800
2022-03-31,1400,800,1100
2022-03-30,1400,1000,1200
2022-03-29,1400,1000,1200
2022-03-28,1400,800,1100
2022-03-25,1400,1000,1200
2022-03-24,2000,1000,1500
2022-03-23,1400,800,1100
2022-03-22,1400,800,1100
2022-03-21,1200,800,1000
2022-03-02,2600,1800,2200
2022-03-01,2800,1600,2200
2021-10-12,2400,1600,2000
2021-10-09,1200,800,1000
2021-09-09,1200,800,1000
2021-08-10,1000,600,800
2021-08-09,1200,800,1000
2021-07-30,2000,1400,1700
2021-07-30,2000,1400,1700
2021-07-29,2000,1400,1700
2021-07-28,2400,1400,1800
2021-07-27,2400,1400,1900
2021-07-26,2000,1400,1700
2021-07-26,2000,1400,1700
2021-07-23,1800,1400,1600
2021-07-22,1800,1400,1600
2021-07-19,2000,1600,1800
2021-07-15,2000,1600,1800
2021-07-14,2000,1000,1500
2021-07-14,2000,1000,1500
2021-07-13,2000,1000,1500
2021-07-13,2000,1000,1500
2021-07-12,1800,1000,1400
2021-07-12,1800,1000,1400
2021-07-12,2800,1600,2200
2021-07-10,1000,800,900
2021-07-09,2400,1200,1800
2021-07-08,2200,1200,1700
2021-07-07,2400,1200,1800
2021-07-06,2000,1200,1600
2021-07-05,2400,1200,1800
2021-07-05,2400,1200,1800
2021-07-02,2400,1000,1700
2021-07-01,2200,1000,1600
2021-06-30,1800,1000,1400
2021-06-29,1800,1400,1600
2021-06-25,1400,1000,1200
2021-06-24,1600,1000,1300
2021-06-23,1600,1000,1300
2021-06-22,1400,1000,1200
2021-06-21,1400,1000,1200
2021-06-18,1800,1000,1400
2021-06-17,1800,1000,1400
2021-06-16,1600,1000,1300
2021-06-15,1600,1000,1400
2021-06-14,1600,1000,1400
2021-06-12,3000,1600,2300
2021-06-11,1600,1000,1400
2021-06-08,1200,800,1100
2021-06-07,1600,800,1200
2021-06-04,1400,1000,1200
2021-06-03,1600,800,1200
2021-06-02,1600,800,1200
2021-06-01,1200,800,1000
2021-05-31,1200,600,900
2021-05-31,1200,600,900
2021-05-27,1200,600,900
2021-05-25,1200,600,900
2021-05-24,1200,600,900
2021-05-20,1200,800,1100
2021-05-20,1200,800,1100
2021-05-19,1200,800,1100
2021-05-18,1200,800,1100
2021-05-17,1200,1000,1100
2021-05-14,1200,1000,1100
2021-05-12,1200,1000,1100
2021-05-12,1200,1000,1100
2021-05-11,1200,800,1000
2021-05-10,1200,800,1000
2021-05-10,1000,800,900
2021-05-07,1200,1000,1100
2021-05-06,1200,1000,1100
2021-05-05,1200,1000,1100
2021-05-04,1200,1000,1100
2021-04-30,1400,1000,1200
2021-04-30,1400,1000,1200
2021-04-29,1400,1000,1200
2021-04-28,1400,1000,1200
2021-04-28,1400,1000,1200
2021-04-27,1600,1000,1300
2021-04-23,1000,800,900
2021-04-22,1000,800,900
2021-04-22,1000,800,900
2021-04-20,1000,800,900
2021-04-19,1000,800,900
2021-04-16,1600,1000,1300
2021-04-12,1400,800,1100
2021-04-10,1000,800,900
2021-04-09,1200,800,1000
2021-04-08,1200,600,900
2021-04-07,1200,800,1000
2021-04-06,1000,800,900
2021-04-05,1000,600,800
2021-04-01,1400,1000,1200
2021-03-31,1400,1000,1200
2021-03-30,1200,1000,1100
2021-03-25,1100,900,1000
2021-03-24,1000,800,900
2021-03-23,1000,800,900
2021-03-22,1400,800,1100
2021-03-16,1400,800,1000
2021-03-15,1200,800,1000
2021-03-12,1000,600,800
2021-03-12,2000,1000,1500
2021-03-10,1000,600,800
2021-03-09,800,400,600
2021-03-08,800,400,600
2021-03-05,1000,800,900
2021-03-04,1000,800,900
2021-03-04,1000,800,900
2021-03-03,1000,800,900
2021-03-02,1000,800,900
2021-03-01,1000,600,800
2021-02-26,1000,800,900
2021-02-26,1000,800,900
2021-02-25,1000,800,900
2021-02-24,1000,800,900
2021-02-22,1000,600,800
2021-02-18,1000,800,900
2021-02-17,1000,800,900
2021-02-15,1200,800,1000
2021-02-12,1400,800,1100
2021-02-12,2000,1000,1400
2021-02-11,1400,800,1100
2021-02-11,1400,800,1100
2021-02-11,1200,800,1000
2021-02-10,1200,600,900
2021-02-09,1000,600,800
2021-02-09,1000,600,800
2021-02-08,1000,600,800
2021-02-08,1000,600,800
2021-02-05,1000,600,800
2021-02-05,1000,600,800
2021-02-04,800,600,700
2021-02-02,800,600,700
2021-02-01,800,600,700
2021-01-29,1200,800,1000
2021-01-28,1200,800,1000
2021-01-27,1000,600,800
2021-01-25,900,400,700
2021-01-22,1400,800,1100
2021-01-22,1400,800,1100
2021-01-21,1400,600,1000
2021-01-20,1000,800,900
2021-01-19,1000,600,800
2021-01-19,1000,600,800
2021-01-18,1600,800,1200
2021-01-15,1600,800,1200
2021-01-15,1600,800,1200
2021-01-14,1000,800,900
2021-01-12,2000,1000,1500
2021-01-11,1400,800,1100
2021-01-10,1200,800,1000
2021-01-06,1200,600,900
2021-01-06,1200,600,900
2021-01-05,1200,600,900
2021-01-04,1200,600,900
2021-01-04,1200,600,900
2021-01-01,1000,800,900
2020-12-31,1400,1000,1200
2020-12-30,1200,1000,1100
2020-12-29,1200,1000,1100
2020-12-24,1400,1000,1200
2020-12-23,1400,1000,1200
2020-12-22,1200,800,1000
2020-12-18,1200,800,1000
2020-12-17,1200,800,1000
2020-12-16,1000,800,900
2020-12-15,1800,1200,1500
2020-12-15,1800,1200,1500
2020-12-11,1600,1200,1400
2020-12-11,1600,1200,1400
2020-12-10,1600,1200,1400
2020-12-09,1600,1200,1400
2020-12-07,2400,1800,2000
2020-12-04,2200,1400,1800
2020-12-03,2400,1800,2100
2020-12-02,2600,2000,2300
2020-12-01,2000,1800,1900
2020-11-27,1400,1000,1200
2020-11-26,1400,1000,1200
2020-11-25,1800,1000,1400
2020-11-24,1600,1000,1300
2020-11-23,1800,1000,1400
2020-11-19,2600,2000,2400
2020-11-17,2400,2000,2200
2020-11-12,4000,3600,3800
2020-11-11,3200,2200,2700
2020-11-10,3000,2500,2800
2020-11-09,3000,2500,2800
2020-11-06,4000,3400,3700
2020-11-05,4000,3400,3700
2020-11-04,4000,3400,3700
2020-11-03,4000,3600,3800
2020-11-02,3800,2800,3300
2020-10-29,4000,3000,3500
2020-10-28,4500,3500,4000
2020-10-15,3400,2800,3100
2020-10-14,3400,2800,3100
2020-10-13,2800,2400,2600
2020-10-12,2800,2400,2600
2020-10-10,2800,2400,2600
2020-10-09,3200,2800,3000
2020-10-08,2600,2400,2500
2020-10-07,2800,2000,2400
2020-10-06,2800,2000,2400
2020-10-06,2800,2000,2400
2020-10-05,2800,2000,2400
2020-10-05,2800,2000,2400
2020-10-03,2600,2000,2300
2020-10-02,2400,2000,2200
2020-10-01,2200,1600,1900
2020-09-29,2000,1600,1800
2020-09-28,2000,1600,1800
2020-09-28,2000,1600,1800
2020-09-26,1600,1200,1400
2020-09-25,1600,1200,1400
2020-09-24,2000,1400,1700
2020-09-23,1800,1200,1500
2020-09-22,1800,1200,1500
2020-09-21,1800,1200,1500
2020-09-18,1800,1200,1500
2020-09-17,2000,1200,1600
2020-09-17,2000,1200,1600
2020-09-16,1800,1200,1500
2020-09-15,1800,1200,1500
2020-09-14,1800,1200,1500
2020-09-12,1800,1200,1500
