Date,Max_Price,Min_Price,Model_Price
2022-06-08,6200,5800,6000
2022-05-09,6300,5800,6000
2022-04-18,6300,5800,6000
2022-03-31,6300,5800,6000
2022-03-30,6300,5800,6000
2022-03-28,6300,5800,6000
2022-03-25,6300,5800,6000
2022-03-24,6300,5800,6000
2022-03-22,6300,5800,6000
2022-03-21,6300,5800,6000
2022-03-02,6300,5800,6000
2022-03-01,6500,6000,6300
2021-10-12,6500,6000,6300
2021-10-11,6700,6400,6500
2021-09-11,6700,6400,6500
2021-09-09,6800,6200,6500
2021-08-12,6500,6000,6300
2021-08-11,6700,6400,6500
2021-08-10,6700,6400,6500
2021-08-09,6800,6200,6500
2021-07-30,6500,5800,6000
2021-07-27,6000,5700,5800
2021-07-26,6000,5700,5800
2021-07-23,6000,5700,5800
2021-07-19,6000,5700,5800
2021-07-15,6400,5800,6000
2021-07-14,6400,5800,6100
2021-07-13,6400,5800,6000
2021-07-12,6400,5800,6000
2021-07-10,6700,6400,6500
2021-07-09,6400,5800,6000
2021-07-09,6800,6200,6500
2021-07-08,6400,5800,6000
2021-07-07,6400,5800,6000
2021-07-06,6400,5800,6000
2021-07-05,6600,5800,6300
2021-07-02,6600,5800,6300
2021-07-01,6600,5800,6300
2021-06-30,6600,5800,6300
2021-06-28,6600,5800,6200
2021-06-25,6600,5800,6200
2021-06-24,6600,5800,6300
2021-06-23,6600,5800,6300
2021-06-22,6600,5800,6300
2021-06-21,6600,5800,6300
2021-06-18,6600,5800,6200
2021-06-17,6600,5800,6300
2021-06-17,6600,5800,6300
2021-06-15,6600,5800,6300
2021-06-14,6600,5000,6300
2021-06-14,6600,5000,6300
2021-06-12,6500,6000,6300
2021-06-10,6700,6400,6500
2021-06-04,6800,6000,6400
2021-06-03,6800,6000,6400
2021-06-01,6800,6000,6500
2021-05-31,6800,6000,6400
2021-05-25,6800,6000,6400
2021-05-20,6800,6000,6400
2021-05-19,6800,6000,6400
2021-05-18,6800,6000,6400
2021-05-17,6800,6000,6400
2021-05-14,6800,6000,6400
2021-05-14,6800,6000,6400
2021-05-12,6800,6000,6400
2021-05-11,6800,6000,6400
2021-05-10,6800,6000,6400
2021-05-10,6700,6400,6500
2021-05-07,6800,6100,6400
2021-05-07,6800,6100,6400
2021-05-06,6800,6100,6400
2021-05-06,6800,6100,6400
2021-05-05,6800,6100,6400
2021-05-05,6800,6100,6400
2021-05-04,6800,6100,6400
2021-05-03,6800,6100,6400
2021-05-03,6800,6100,6400
2021-04-30,6800,6100,6400
2021-04-30,6800,6100,6400
2021-04-28,6800,6100,6400
2021-04-23,6800,6100,6400
