id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Local,Gujarat,Mehsana(Jornang),1965.00 - 2085.00,2050.00 ,Bajra(Pearl Millet/Cumbu)
1,18/06/2022,Hybrid,Uttar Pradesh,Mathura,1960.00 - 2000.00,1985.00 ,Bajra(Pearl Millet/Cumbu)
2,18/06/2022,Hybrid,Karnataka,Bellary,2461.00 - 2489.00,2475.00 ,Bajra(Pearl Millet/Cumbu)
3,18/06/2022,Hybrid,Uttar Pradesh,Tundla,2010.00 - 2035.00,2025.00 ,Bajra(Pearl Millet/Cumbu)
4,18/06/2022,Other,Gujarat,Visnagar,1600.00 - 2225.00,1912.00 ,Bajra(Pearl Millet/Cumbu)
5,18/06/2022,Hybrid,Uttar Pradesh,Aligarh,2000.00 - 2020.00,2010.00 ,Bajra(Pearl Millet/Cumbu)
6,18/06/2022,Bold,Rajasthan,Jaipur(Bassi),1920.00 - 1925.00,1922.00 ,Bajra(Pearl Millet/Cumbu)
7,18/06/2022,Local,Gujarat,Rajula,1900.00 - 2325.00,2113.00 ,Bajra(Pearl Millet/Cumbu)
8,18/06/2022,Deshi,Gujarat,Siddhpur,1750.00 - 2130.00,1940.00 ,Bajra(Pearl Millet/Cumbu)
9,18/06/2022,Other,Rajasthan,Bheenmal(Ranlwada),1200.00 - 1800.00,1500.00 ,Bajra(Pearl Millet/Cumbu)
10,18/06/2022,Deshi,Gujarat,Umreth,1950.00 - 2125.00,2110.00 ,Bajra(Pearl Millet/Cumbu)
11,18/06/2022,Hybrid,Uttar Pradesh,Jasvantnagar,1985.00 - 2085.00,2035.00 ,Bajra(Pearl Millet/Cumbu)
12,18/06/2022,Other,Gujarat,Deesa,1950.00 - 2255.00,2050.00 ,Bajra(Pearl Millet/Cumbu)
13,18/06/2022,Hybrid,Uttar Pradesh,Divai,2010.00 - 2030.00,2020.00 ,Bajra(Pearl Millet/Cumbu)
14,18/06/2022,Other,Gujarat,Deesa(Bhildi),2000.00 - 2140.00,2100.00 ,Bajra(Pearl Millet/Cumbu)
15,18/06/2022,Deshi,Gujarat,Jasdan,1400.00 - 2155.00,2000.00 ,Bajra(Pearl Millet/Cumbu)
16,18/06/2022,Hybrid,Gujarat,Dhanera,1900.00 - 2340.00,2120.00 ,Bajra(Pearl Millet/Cumbu)
17,18/06/2022,Other,Gujarat,Lakhani,2127.50 - 2255.00,2175.00 ,Bajra(Pearl Millet/Cumbu)
18,18/06/2022,Other,Gujarat,Thara,2150.00 - 2260.00,2205.00 ,Bajra(Pearl Millet/Cumbu)
19,18/06/2022,Hybrid,Uttar Pradesh,Charra,2010.00 - 2030.00,2020.00 ,Bajra(Pearl Millet/Cumbu)
