id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Azamgarh,6025.00 - 6125.00,6075.00 ,Bengal Gram Dal (Chana Dal)
1,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Bharthna,5700.00 - 6100.00,5900.00 ,Bengal Gram Dal (Chana Dal)
2,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Faizabad,5900.00 - 6100.00,6000.00 ,Bengal Gram Dal (Chana Dal)
3,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Ahirora,6550.00 - 6850.00,6670.00 ,Bengal Gram Dal (Chana Dal)
4,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Banda,6230.00 - 6400.00,6325.00 ,Bengal Gram Dal (Chana Dal)
5,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Lucknow,6150.00 - 6250.00,6200.00 ,Bengal Gram Dal (Chana Dal)
6,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Mirzapur,6550.00 - 6650.00,6600.00 ,Bengal Gram Dal (Chana Dal)
7,18/06/2022,Bengal Gram Dal,Karnataka,Bangarpet,6000.00 - 8000.00,7000.00 ,Bengal Gram Dal (Chana Dal)
8,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Kayamganj,6275.00 - 6325.00,6300.00 ,Bengal Gram Dal (Chana Dal)
9,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Gonda,6310.00 - 6330.00,6320.00 ,Bengal Gram Dal (Chana Dal)
10,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Devariya,6070.00 - 6085.00,6075.00 ,Bengal Gram Dal (Chana Dal)
11,18/06/2022,Bengal Gram (Split),Uttar Pradesh,Naanpara,6240.00 - 6340.00,6280.00 ,Bengal Gram Dal (Chana Dal)
12,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Muzzafarnagar,6170.00 - 6370.00,6270.00 ,Bengal Gram Dal (Chana Dal)
13,18/06/2022,Bengal Gram Dal,Karnataka,Shimoga,6200.00 - 6800.00,6500.00 ,Bengal Gram Dal (Chana Dal)
14,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Pukhrayan,5800.00 - 6000.00,5910.00 ,Bengal Gram Dal (Chana Dal)
15,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Jaunpur,6600.00 - 6700.00,6650.00 ,Bengal Gram Dal (Chana Dal)
16,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Gorakhpur,6000.00 - 6300.00,6100.00 ,Bengal Gram Dal (Chana Dal)
17,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Agra,6450.00 - 6650.00,6550.00 ,Bengal Gram Dal (Chana Dal)
18,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Shamli,6215.00 - 6370.00,6280.00 ,Bengal Gram Dal (Chana Dal)
19,18/06/2022,Bengal Gram Dal,Uttar Pradesh,Auraiya,5750.00 - 6050.00,5930.00 ,Bengal Gram Dal (Chana Dal)
