id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Other,Kerala,Koduvayoor,24000.00 - 26000.00,25000.00 ,Chili Red
1,18/06/2022,Red,Kerala,Palakkad,22000.00 - 24000.00,23100.00 ,Chili Red
2,18/06/2022,Other,Karnataka,Shimoga,2309.00 - 14609.00,3609.00 ,Chili Red
3,17/06/2022,Other,Kerala,Koduvayoor,23000.00 - 25000.00,24000.00 ,Chili Red
4,17/06/2022,Red,Uttar Pradesh,Faizabad,20500.00 - 21500.00,21000.00 ,Chili Red
5,17/06/2022,Red,Kerala,Palakkad,22000.00 - 24000.00,23100.00 ,Chili Red
6,17/06/2022,Other,Odisha,Bolangir,24800.00 - 25000.00,24800.00 ,Chili Red
7,16/06/2022,Other,Odisha,Bolangir,24800.00 - 25000.00,24800.00 ,Chili Red
8,16/06/2022,Other,Kerala,Koduvayoor,22000.00 - 28000.00,26000.00 ,Chili Red
9,16/06/2022,Red,Kerala,Palakkad,22000.00 - 23000.00,22600.00 ,Chili Red
10,15/06/2022,Other,Maharashtra,Mumbai,20000.00 - 40000.00,30000.00 ,Chili Red
11,15/06/2022,Red,Kerala,Palakkad,22000.00 - 23000.00,22600.00 ,Chili Red
12,15/06/2022,Other,Gujarat,Porbandar,7000.00 - 7000.00,7000.00 ,Chili Red
13,15/06/2022,Other,Maharashtra,Dhule,6150.00 - 12500.00,10000.00 ,Chili Red
14,15/06/2022,Other,Karnataka,Shimoga,3699.00 - 10699.00,8199.00 ,Chili Red
15,15/06/2022,Other,Kerala,Koduvayoor,22000.00 - 28000.00,24000.00 ,Chili Red
16,14/06/2022,Other,Karnataka,Shimoga,3699.00 - 10699.00,8199.00 ,Chili Red
17,14/06/2022,Other,Maharashtra,Mumbai,20000.00 - 40000.00,30000.00 ,Chili Red
18,14/06/2022,Other,Kerala,Koduvayoor,22000.00 - 26000.00,24000.00 ,Chili Red
19,14/06/2022,Other,Maharashtra,Nagpur,9000.00 - 16000.00,14250.00 ,Chili Red
