id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Other,Gujarat,Babra,9000.00 - 12900.00,10950.00 ,Cotton
1,18/06/2022,Varalakshmi (Ginned),Karnataka,Chitradurga,4100.00 - 10575.00,9380.00 ,Cotton
2,18/06/2022,Other,Gujarat,Bagasara,9000.00 - 12250.00,10625.00 ,Cotton
3,18/06/2022,Other,Gujarat,Vankaner,7500.00 - 9250.00,8000.00 ,Cotton
4,18/06/2022,Shanker 6 (B) 30mm FIne,Gujarat,Jasdan,9500.00 - 13200.00,10500.00 ,Cotton
5,18/06/2022,MCU 5,Tamil Nadu,Thirumangalam,8800.00 - 9000.00,8900.00 ,Cotton
6,18/06/2022,Other,Tamil Nadu,Thirumangalam,8080.00 - 8250.00,8150.00 ,Cotton
7,18/06/2022,Cotton (Unginned),Telangana,Jainoor,9500.00 - 9700.00,9600.00 ,Cotton
8,18/06/2022,Other,Gujarat,Jambusar,9000.00 - 9500.00,9300.00 ,Cotton
9,18/06/2022,Narma BT Cotton,Gujarat,Rajkot,10750.00 - 12885.00,11800.00 ,Cotton
10,18/06/2022,Other,Gujarat,Jambusar(Kaavi),8800.00 - 9400.00,9200.00 ,Cotton
11,18/06/2022,Shanker 6 (B) 30mm FIne,Gujarat,Mahuva(Station Road),6650.00 - 11500.00,9075.00 ,Cotton
12,18/06/2022,Cotton (Unginned),Telangana,Parkal,8000.00 - 9900.00,9000.00 ,Cotton
13,18/06/2022,Cotton (Unginned),Telangana,Jammikunta,6025.00 - 6025.00,6025.00 ,Cotton
14,18/06/2022,Other,Gujarat,Dhrol,9700.00 - 12900.00,11300.00 ,Cotton
15,18/06/2022,Other,Gujarat,Bhesan,8000.00 - 13000.00,11750.00 ,Cotton
16,18/06/2022,American,Haryana,Ellanabad,11600.00 - 11610.00,11600.00 ,Cotton
17,18/06/2022,Cotton (Unginned),Telangana,Peddapalli,6025.00 - 6025.00,6025.00 ,Cotton
18,18/06/2022,Cotton (Unginned),Telangana,Enkoor,9000.00 - 9800.00,9300.00 ,Cotton
19,18/06/2022,Cotton (Unginned),Telangana,Khammam,8500.00 - 11500.00,11500.00 ,Cotton
