id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Potato,Punjab,Sahnewal,1200.00 - 1200.00,1200.00 ,Potato
1,18/06/2022,Other,Uttrakhand,Bhagwanpur(Naveen Mandi Sthal),600.00 - 800.00,700.00 ,Potato
2,18/06/2022,Local,Karnataka,Bangalore,2500.00 - 2700.00,2600.00 ,Potato
3,18/06/2022,Desi,Uttar Pradesh,Fatehabad,900.00 - 1000.00,950.00 ,Potato
4,18/06/2022,Desi,Uttar Pradesh,Bijnaur,1170.00 - 1350.00,1230.00 ,Potato
5,18/06/2022,Potato,Karnataka,Bangalore,1800.00 - 2100.00,1900.00 ,Potato
6,18/06/2022,Other,Kerala,Harippad,4000.00 - 4500.00,4000.00 ,Potato
7,18/06/2022,Potato,Kerala,Kanjangadu,2600.00 - 3200.00,2800.00 ,Potato
8,18/06/2022,(Red Nanital),Rajasthan,Bijay Nagar,1465.00 - 1630.00,1530.00 ,Potato
9,18/06/2022,Desi,Uttar Pradesh,Kasganj,1100.00 - 1320.00,1200.00 ,Potato
10,18/06/2022,Desi,Uttar Pradesh,Chaandpur,1000.00 - 1200.00,1100.00 ,Potato
11,18/06/2022,Badshah,Uttar Pradesh,Shahganj,1250.00 - 1400.00,1320.00 ,Potato
12,18/06/2022,F.A.Q.,Uttar Pradesh,Mohammdi,1280.00 - 1480.00,1380.00 ,Potato
13,18/06/2022,Desi,Uttar Pradesh,Kosikalan,1270.00 - 1300.00,1290.00 ,Potato
14,18/06/2022,Local,Uttar Pradesh,Sirsaganj,1080.00 - 1280.00,1180.00 ,Potato
15,18/06/2022,Potato,Haryana,Chhachrauli,1200.00 - 2200.00,1400.00 ,Potato
16,18/06/2022,(Red Nanital),Telangana,Siddipet(Rythu Bazar),2200.00 - 3000.00,2600.00 ,Potato
17,18/06/2022,Desi,Uttar Pradesh,Kiratpur,1000.00 - 1100.00,1050.00 ,Potato
18,18/06/2022,Other,Uttrakhand,Roorkee,600.00 - 1000.00,800.00 ,Potato
19,18/06/2022,Other,Kerala,Kottakkal,3000.00 - 3150.00,3100.00 ,Potato
