id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Common,Uttar Pradesh,Bijnaur,2450.00 - 2650.00,2500.00 ,Rice
1,18/06/2022,Medium,Karnataka,Bangalore,3800.00 - 4000.00,3900.00 ,Rice
2,18/06/2022,III,Uttar Pradesh,Kasganj,2650.00 - 2770.00,2700.00 ,Rice
3,18/06/2022,III,Uttar Pradesh,Kosikalan,2620.00 - 2650.00,2640.00 ,Rice
4,18/06/2022,III,Uttar Pradesh,Sirsaganj,2650.00 - 2850.00,2750.00 ,Rice
5,18/06/2022,III,Uttar Pradesh,Shahganj,2650.00 - 2800.00,2700.00 ,Rice
6,18/06/2022,III,Uttar Pradesh,Rasda,2500.00 - 2670.00,2590.00 ,Rice
7,18/06/2022,III,Uttar Pradesh,Sehjanwa,2480.00 - 2500.00,2490.00 ,Rice
8,18/06/2022,III,Uttar Pradesh,Fatehpur Sikri,2650.00 - 2850.00,2745.00 ,Rice
9,18/06/2022,III,Uttar Pradesh,Gurusarai,2400.00 - 2500.00,2450.00 ,Rice
10,18/06/2022,III,Uttar Pradesh,Saharanpur,2860.00 - 3100.00,2980.00 ,Rice
11,18/06/2022,III,Uttar Pradesh,Vilthararoad,2000.00 - 2200.00,2100.00 ,Rice
12,18/06/2022,Coarse,Uttar Pradesh,Bharthna,2350.00 - 2550.00,2450.00 ,Rice
13,18/06/2022,III,Uttar Pradesh,Azamgarh,2435.00 - 2535.00,2485.00 ,Rice
14,18/06/2022,III,Uttar Pradesh,Tundla,2835.00 - 2870.00,2850.00 ,Rice
15,18/06/2022,III,Uttar Pradesh,Bharuasumerpur,2400.00 - 2500.00,2450.00 ,Rice
16,18/06/2022,III,Uttar Pradesh,Balrampur,2260.00 - 2500.00,2380.00 ,Rice
17,18/06/2022,III,Uttar Pradesh,Mathura,2630.00 - 2820.00,2740.00 ,Rice
18,18/06/2022,Common,Uttar Pradesh,Shahjahanpur,2480.00 - 2570.00,2525.00 ,Rice
19,18/06/2022,III,Uttar Pradesh,Panchpedwa,1900.00 - 1920.00,1910.00 ,Rice
