id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Other,Rajasthan,Baran,5811.00 - 6400.00,6200.00 ,Soyabean
1,18/06/2022,Black,Telangana,Zaheerabad,5662.00 - 6611.00,6536.00 ,Soyabean
2,18/06/2022,Other,Rajasthan,Nimbahera,5000.00 - 6400.00,5700.00 ,Soyabean
3,18/06/2022,Soyabeen,Madhya Pradesh,Khategaon,3101.00 - 6550.00,6300.00 ,Soyabean
4,18/06/2022,Yellow,Maharashtra,Latur,6100.00 - 6670.00,6600.00 ,Soyabean
5,18/06/2022,Yellow,Madhya Pradesh,Badnawar,4325.00 - 7775.00,6500.00 ,Soyabean
6,18/06/2022,Yellow,Gujarat,Dhoraji,5255.00 - 6055.00,5830.00 ,Soyabean
7,18/06/2022,Other,Rajasthan,Ramaganj Mandi,6300.00 - 7280.00,6550.00 ,Soyabean
8,18/06/2022,Soyabeen,Madhya Pradesh,Sanawad,5840.00 - 5980.00,5980.00 ,Soyabean
9,18/06/2022,Other,Gujarat,Jasdan,5500.00 - 6750.00,6000.00 ,Soyabean
10,18/06/2022,Soyabeen,Karnataka,Hubli (Amaragol),4006.00 - 6670.00,5800.00 ,Soyabean
11,18/06/2022,Yellow,Madhya Pradesh,Khujner,6250.00 - 6805.00,6650.00 ,Soyabean
12,18/06/2022,Yellow,Telangana,Bhainsa,6189.00 - 6189.00,6189.00 ,Soyabean
13,18/06/2022,Yellow,Maharashtra,Bhokar,6150.00 - 6301.00,6225.00 ,Soyabean
14,18/06/2022,Yellow,Madhya Pradesh,Kalapipal,4500.00 - 7000.00,6350.00 ,Soyabean
15,18/06/2022,Soyabeen,Karnataka,Gulbarga,3000.00 - 6200.00,4500.00 ,Soyabean
16,18/06/2022,Soyabeen,Madhya Pradesh,Sheopurkalan,5920.00 - 6405.00,6095.00 ,Soyabean
17,18/06/2022,Yellow,Maharashtra,Umarga,6000.00 - 6300.00,6200.00 ,Soyabean
18,18/06/2022,Yellow,Maharashtra,Gangakhed,6600.00 - 6700.00,6600.00 ,Soyabean
19,18/06/2022,Yellow,Madhya Pradesh,Badnagar,4272.00 - 10190.00,6580.00 ,Soyabean
