id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,25/05/2022,Sugarcane,Chattisgarh,Pratappur,300.00 - 300.00,300.00 ,Sugarcane
1,24/05/2022,Sugarcane,Chattisgarh,Pratappur,300.00 - 300.00,300.00 ,Sugarcane
2,23/05/2022,Sugarcane,Chattisgarh,Pratappur,300.00 - 300.00,300.00 ,Sugarcane
3,21/05/2022,Sugarcane,Chattisgarh,Pratappur,300.00 - 300.00,300.00 ,Sugarcane
4,19/05/2022,Other,Chattisgarh,Ambikapur,300.00 - 300.00,300.00 ,Sugarcane
5,16/05/2022,Other,Chattisgarh,Surajpur,295.00 - 295.00,295.00 ,Sugarcane
6,15/05/2022,Other,Chattisgarh,Surajpur,295.00 - 295.00,295.00 ,Sugarcane
7,13/05/2022,Other,Chattisgarh,Surajpur,259.00 - 295.00,295.00 ,Sugarcane
8,13/05/2022,Other,Chattisgarh,Ambikapur,300.00 - 300.00,300.00 ,Sugarcane
9,11/05/2022,Other,Chattisgarh,Ambikapur,300.00 - 300.00,300.00 ,Sugarcane
10,10/05/2022,Other,Chattisgarh,Ambikapur,300.00 - 300.00,300.00 ,Sugarcane
11,09/05/2022,Other,Chattisgarh,Ambikapur,300.00 - 300.00,300.00 ,Sugarcane
12,06/05/2022,Other,Chattisgarh,Ambikapur,300.00 - 300.00,300.00 ,Sugarcane
13,05/05/2022,Other,Chattisgarh,Surajpur,295.00 - 295.00,295.00 ,Sugarcane
14,05/05/2022,Other,Chattisgarh,Ambikapur,300.00 - 300.00,300.00 ,Sugarcane
15,04/05/2022,Other,Chattisgarh,Surajpur,295.00 - 295.00,295.00 ,Sugarcane
16,03/05/2022,Other,Chattisgarh,Surajpur,295.00 - 295.00,295.00 ,Sugarcane
17,30/04/2022,Other,Chattisgarh,Surajpur,295.00 - 295.00,295.00 ,Sugarcane
18,28/04/2022,Other,Chattisgarh,Surajpur,295.00 - 295.00,295.00 ,Sugarcane
19,28/04/2022,Other,Chattisgarh,Ambikapur,300.00 - 300.00,300.00 ,Sugarcane
