id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Bold,Haryana,Ambala City(Subji Mandi),5915.00 - 6345.00,6125.00 ,Sunflower
1,18/06/2022,Sunflower,Haryana,Shahzadpur,5800.00 - 5800.00,5800.00 ,Sunflower
2,18/06/2022,Sunflower,Karnataka,Hubli (Amaragol),5610.00 - 5610.00,5610.00 ,Sunflower
3,18/06/2022,Sunflower,Karnataka,Gulbarga,5000.00 - 6800.00,5600.00 ,Sunflower
4,18/06/2022,Sunflower,Karnataka,Bagalakot,6565.00 - 6969.00,6895.00 ,Sunflower
5,17/06/2022,Other,Tamil Nadu,Vellakkoil,6275.00 - 7719.00,7389.00 ,Sunflower
6,17/06/2022,Sunflower,Karnataka,Bagalakot,6259.00 - 7010.00,6785.00 ,Sunflower
7,17/06/2022,Other,Maharashtra,Amalner,4600.00 - 4700.00,4700.00 ,Sunflower
8,16/06/2022,Bold,Haryana,Ambala City(Subji Mandi),6010.00 - 6435.00,6275.00 ,Sunflower
9,16/06/2022,Bold,Andhra Pradesh,Kurnool,5669.00 - 5669.00,5669.00 ,Sunflower
10,16/06/2022,Sunflower,Karnataka,Gadag,3752.00 - 6562.00,6337.00 ,Sunflower
11,16/06/2022,Sunflower,Karnataka,Bagalakot,6661.00 - 7011.00,6884.00 ,Sunflower
12,16/06/2022,Local,Telangana,Warangal,6402.00 - 6913.00,6913.00 ,Sunflower
13,15/06/2022,Sunflower,Karnataka,Gadag,4612.00 - 5701.00,5157.00 ,Sunflower
14,15/06/2022,Sunflower,Karnataka,Gulbarga,5400.00 - 6100.00,5800.00 ,Sunflower
15,15/06/2022,Other,Maharashtra,Bhokar,4853.00 - 4853.00,4853.00 ,Sunflower
16,15/06/2022,Other,Maharashtra,Jalana,4700.00 - 6000.00,5700.00 ,Sunflower
17,15/06/2022,Other,Maharashtra,Amalner,5011.00 - 5200.00,5200.00 ,Sunflower
18,15/06/2022,Local,Karnataka,Chitradurga,6289.00 - 6289.00,6289.00 ,Sunflower
19,14/06/2022,Bold,Andhra Pradesh,Kurnool,5159.00 - 5388.00,5159.00 ,Sunflower
