id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Other,Gujarat,Ahmedabad,2000.00 - 3000.00,2900.00 ,Sweet Potato
1,18/06/2022,Sweet Potato,Karnataka,Davangere,1600.00 - 2000.00,1800.00 ,Sweet Potato
2,18/06/2022,Other,Kerala,Koduvayoor,2000.00 - 2700.00,2500.00 ,Sweet Potato
3,18/06/2022,Hosur Green,Telangana,Kukatpally(Rythu Bazar),1300.00 - 1300.00,1300.00 ,Sweet Potato
4,18/06/2022,Sweet Potato,Kerala,Palakkad,2300.00 - 3000.00,2700.00 ,Sweet Potato
5,18/06/2022,Sweet Potato,Gujarat,Dahod(Veg. Market),1200.00 - 2000.00,1500.00 ,Sweet Potato
6,18/06/2022,Other,Gujarat,Surat,2250.00 - 2750.00,2500.00 ,Sweet Potato
7,17/06/2022,Other,Kerala,Koduvayoor,2000.00 - 2600.00,2400.00 ,Sweet Potato
8,17/06/2022,Sweet Potato,Karnataka,"Binny Mill (F&V), Bangalore",2500.00 - 3000.00,2800.00 ,Sweet Potato
9,17/06/2022,Other,Gujarat,Surat,2000.00 - 3000.00,2500.00 ,Sweet Potato
10,17/06/2022,Sweet Potato,Karnataka,Davangere,1500.00 - 2000.00,1800.00 ,Sweet Potato
11,17/06/2022,Other,Maharashtra,Khed(Chakan),3000.00 - 4000.00,3500.00 ,Sweet Potato
12,17/06/2022,Sweet Potato,Kerala,Palakkad,2400.00 - 3000.00,2800.00 ,Sweet Potato
13,17/06/2022,Other,Maharashtra,Pune,1500.00 - 3000.00,2250.00 ,Sweet Potato
14,17/06/2022,Hosur Green,Telangana,Kukatpally(Rythu Bazar),2500.00 - 2500.00,2500.00 ,Sweet Potato
15,17/06/2022,Sweet Potato,Chattisgarh,Durg,1800.00 - 2200.00,2000.00 ,Sweet Potato
16,16/06/2022,Sweet Potato,NCT of Delhi,Azadpur,1500.00 - 2500.00,2000.00 ,Sweet Potato
17,16/06/2022,Sweet Potato,Kerala,Palakkad,2500.00 - 3000.00,2800.00 ,Sweet Potato
18,16/06/2022,Other,Kerala,Pattambi,1400.00 - 2200.00,1800.00 ,Sweet Potato
19,16/06/2022,Sweet Potato,Karnataka,Davangere,1500.00 - 2000.00,1800.00 ,Sweet Potato
