id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Deshi,Kerala,Manathavady,3900.00 - 4000.00,3950.00 ,Tomato
1,18/06/2022,Hybrid,Uttar Pradesh,Dibiapur,1600.00 - 1800.00,1700.00 ,Tomato
2,18/06/2022,Tomato,Haryana,Gohana,2500.00 - 3000.00,2500.00 ,Tomato
3,18/06/2022,Hybrid,Uttar Pradesh,Gorakhpur,3500.00 - 3750.00,3600.00 ,Tomato
4,18/06/2022,Deshi,Uttar Pradesh,Fatehabad,400.00 - 500.00,450.00 ,Tomato
5,18/06/2022,Hybrid,Uttar Pradesh,Chaandpur,2200.00 - 2400.00,2300.00 ,Tomato
6,18/06/2022,Other,Kerala,Harippad,7000.00 - 7500.00,7000.00 ,Tomato
7,18/06/2022,Hybrid,Uttar Pradesh,Kasganj,1900.00 - 2140.00,2010.00 ,Tomato
8,18/06/2022,Local,Uttar Pradesh,Mohammdi,2980.00 - 3180.00,3080.00 ,Tomato
9,18/06/2022,Deshi,Uttar Pradesh,Kosikalan,2100.00 - 2250.00,2200.00 ,Tomato
10,18/06/2022,Deshi,Uttar Pradesh,Kiratpur,1300.00 - 1400.00,1350.00 ,Tomato
11,18/06/2022,Hybrid,Uttar Pradesh,Shahganj,3300.00 - 3500.00,3360.00 ,Tomato
12,18/06/2022,Tomato,Haryana,Chhachrauli,2000.00 - 2000.00,2000.00 ,Tomato
13,18/06/2022,Tomato,Karnataka,Channapatana,3500.00 - 6250.00,4500.00 ,Tomato
14,18/06/2022,Hybrid,Uttar Pradesh,Sirsaganj,2370.00 - 2570.00,2470.00 ,Tomato
15,18/06/2022,Hybrid,Karnataka,Kanakapura,3000.00 - 5500.00,4000.00 ,Tomato
16,18/06/2022,Other,Madhya Pradesh,Dewas(F&V),1800.00 - 3000.00,2500.00 ,Tomato
17,18/06/2022,Tomato,Gujarat,Mehsana(Mehsana Veg),1200.00 - 4500.00,3500.00 ,Tomato
18,18/06/2022,Other,Gujarat,Padra,3000.00 - 4000.00,3500.00 ,Tomato
19,18/06/2022,Other,Maharashtra,Bhusaval,2500.00 - 2500.00,2500.00 ,Tomato
