id,Arrival Date,Variety,State,Market,Min / Max Price (Rs./Quintal),Average price (Rs./Quintal),Commodity
,,,,,,,
0,18/06/2022,Water Melon,Uttar Pradesh,Shamli,715.00 - 850.00,785.00 ,Water Melon
1,18/06/2022,Water Melon,Uttar Pradesh,Dibiapur,400.00 - 575.00,500.00 ,Water Melon
2,18/06/2022,Other,Haryana,Gohana,800.00 - 1000.00,800.00 ,Water Melon
3,18/06/2022,Water Melon,Uttar Pradesh,Gorakhpur,850.00 - 1000.00,950.00 ,Water Melon
4,18/06/2022,Water Melon,Uttar Pradesh,Bijnaur,550.00 - 755.00,600.00 ,Water Melon
5,18/06/2022,Other,Uttar Pradesh,Mohammdi,920.00 - 1120.00,1020.00 ,Water Melon
6,18/06/2022,Water Melon,Uttar Pradesh,Shahganj,700.00 - 900.00,800.00 ,Water Melon
7,18/06/2022,Water Melon,Haryana,Chhachrauli,400.00 - 400.00,400.00 ,Water Melon
8,18/06/2022,Water Melon,Uttar Pradesh,Sirsaganj,450.00 - 650.00,550.00 ,Water Melon
9,18/06/2022,Other,Kerala,Kottakkal,1500.00 - 1600.00,1550.00 ,Water Melon
10,18/06/2022,Water Melon,Uttar Pradesh,Fatehpur Sikri,500.00 - 700.00,620.00 ,Water Melon
11,18/06/2022,Water Melon,Himachal Pradesh,Mandi(Mandi),1000.00 - 1200.00,1100.00 ,Water Melon
12,18/06/2022,Water Melon,Uttar Pradesh,Tikonia,850.00 - 850.00,850.00 ,Water Melon
13,18/06/2022,Water Melon,Uttar Pradesh,Anoop Shahar,400.00 - 600.00,500.00 ,Water Melon
14,18/06/2022,Water Melon,Uttrakhand,Jaspur(UC),600.00 - 600.00,600.00 ,Water Melon
15,18/06/2022,Other,Haryana,Jagadhri,400.00 - 500.00,500.00 ,Water Melon
16,18/06/2022,Water Melon,Uttar Pradesh,Azamgarh,900.00 - 1000.00,950.00 ,Water Melon
17,18/06/2022,Water Melon,Uttar Pradesh,Bharuasumerpur,610.00 - 700.00,650.00 ,Water Melon
18,18/06/2022,Water Melon,Uttar Pradesh,Mathura,150.00 - 350.00,250.00 ,Water Melon
19,18/06/2022,Water Melon,Haryana,Naraingarh,400.00 - 400.00,400.00 ,Water Melon
